timestamp, power.draw [W], utilization.gpu [%]
2026/05/28 02:55:15.160, 37.78 W, 100 %
2026/05/28 02:55:15.266, 36.53 W, 17 %
2026/05/28 02:55:15.369, 36.62 W, 17 %
2026/05/28 02:55:15.473, 36.53 W, 0 %
2026/05/28 02:55:15.576, 36.43 W, 0 %
2026/05/28 02:55:15.679, 78.68 W, 0 %
2026/05/28 02:55:15.782, 80.31 W, 81 %
2026/05/28 02:55:15.888, 80.60 W, 81 %
2026/05/28 02:55:16.000, 80.50 W, 100 %
2026/05/28 02:55:16.108, 80.49 W, 100 %
2026/05/28 02:55:16.211, 80.40 W, 100 %
2026/05/28 02:55:16.314, 80.40 W, 100 %
2026/05/28 02:55:16.418, 80.40 W, 100 %
2026/05/28 02:55:16.521, 80.49 W, 100 %
2026/05/28 02:55:16.624, 80.40 W, 100 %
2026/05/28 02:55:16.730, 80.30 W, 100 %
2026/05/28 02:55:16.842, 80.49 W, 100 %
2026/05/28 02:55:16.950, 80.59 W, 100 %
2026/05/28 02:55:17.053, 80.59 W, 100 %
2026/05/28 02:55:17.162, 80.50 W, 100 %
2026/05/28 02:55:17.265, 80.30 W, 100 %
2026/05/28 02:55:17.371, 80.40 W, 100 %
2026/05/28 02:55:17.483, 80.31 W, 100 %
2026/05/28 02:55:17.591, 80.49 W, 100 %
2026/05/28 02:55:17.704, 80.69 W, 100 %
2026/05/28 02:55:17.812, 80.49 W, 100 %
2026/05/28 02:55:17.915, 80.49 W, 100 %
2026/05/28 02:55:18.025, 80.60 W, 100 %
2026/05/28 02:55:18.133, 80.40 W, 100 %
2026/05/28 02:55:18.245, 80.69 W, 100 %
2026/05/28 02:55:18.354, 80.78 W, 100 %
2026/05/28 02:55:18.457, 80.59 W, 100 %
2026/05/28 02:55:18.566, 80.59 W, 100 %
2026/05/28 02:55:18.675, 80.59 W, 100 %
2026/05/28 02:55:18.786, 80.69 W, 100 %
2026/05/28 02:55:18.895, 80.78 W, 100 %
2026/05/28 02:55:18.998, 80.88 W, 100 %
2026/05/28 02:55:19.102, 80.69 W, 100 %
2026/05/28 02:55:19.205, 80.49 W, 100 %
2026/05/28 02:55:19.309, 80.69 W, 100 %
2026/05/28 02:55:19.416, 80.49 W, 100 %
2026/05/28 02:55:19.530, 80.78 W, 100 %
2026/05/28 02:55:19.637, 80.60 W, 100 %
2026/05/28 02:55:19.749, 80.79 W, 100 %
2026/05/28 02:55:19.858, 80.88 W, 100 %
2026/05/28 02:55:19.961, 80.78 W, 100 %
2026/05/28 02:55:20.066, 80.78 W, 100 %
2026/05/28 02:55:20.169, 80.88 W, 100 %
2026/05/28 02:55:20.272, 80.69 W, 100 %
2026/05/28 02:55:20.379, 80.69 W, 100 %
2026/05/28 02:55:20.482, 80.78 W, 100 %
